"('mail', 'tcsh', 'xterm')","('sh', 'sendmail', 'mailx')","('mail', 'tcsh', 'ls')","('gethost', 'download', 'tcpostio')","('getopt', 'true', 'true')","('nawk', 'getopt', 'true')","('eqn', 'troff', 'dpost')","('ls', 'more', 'nslookup')","('gs', 'ghostvie', 'ls')","('generic', 'gethost', 'download')","('mkdir', 'sh', 'ex')","('rmdir', 'mkdir', 'sh')","('xterm', 'tcsh', 'cat')","('more', 'sh', 'more')","('echo', 'echo', 'echo')","('mc', 'lc', 'ex')","('tset', 'mail', 'tcsh')","('gs', 'ghostvie', 'mail')","('lc', 'Sqpe', 'ls')","('grep', 'netscape', 'netscape')","('tcsh', 'finger', 'tcsh')","('hostname', 'pr', 'id')","('gs', 'ghostvie', 'tcpostio')","('sh', 'mailx', 'sh')","('tcsh', 'rshd', 'netstat')","('pwd', 'ex', 'cat')","('ls', 'Sqpe', 'pwd')","('mail', 'more', 'tcsh')","('mc', 'lc', 'cat')","('getopt', 'true', 'grep')","('ls', 'ls', 'more')","('tcsh', 'rshd', 'df')","('sed', 'sed', 'tbl')","('sh', 'tcpostio', 'tcpostio')","('rmdir', 'rmdir', 'pwd')","('ex', 'hostname', 'pr')","('sh', 'ex', 'ex')","('mail', 'tcsh', 'tcsh')","('rshd', 'cat', 'mail')","('rm', 'ls', 'sed')","('dvips', 'hostname', 'id')","('date', 'generic', 'gethost')","('pr', 'id', 'nawk')","('bc', 'date', 'postprin')","('LOCK', 'ex', 'eqn')","('tcsh', 'rshd', 'uname')","('netscape', 'netscape', 'netstat')","('cat', 'date', 'generic')","('dvips', 'gs', 'ghostvie')","('post', 'rm', 'generic')","('sendmail', 'sendmail', 'mailx')","('eqn', 'troff', 'sed')","('tcsh', 'date', 'sh')","('ex', 'eqn', 'troff')","('download', 'gethost', 'tcpostio')","('tput', 'pq', 'pq')","('tcsh', 'rshd', 'hostname')","('download', 'cat', 'mailx')","('sh', 'LOCK', 'ex')","('find', 'expr', 'generic')","('gethost', 'download', 'virtex')","('LOCK', 'LOCK', 'ls')","('tcsh', 'cat', 'mail')","('ex', 'ex', 'echo')","('lc', 'Sqpe', 'more')","('true', 'true', 'true')","('mail', 'tcsh', 'mail')","('tcsh', 'su', 'rdistd')","('cat', 'cat', 'sh')","('sh', 'LOCK', 'netstat')","('sh', 'LOCK', 'gs')","('sh', 'cat', 'ex')","('sh', 'pr', 'hostname')","('cat', 'netscape', 'ls')","('sed', 'tbl', 'tbl')","('sh', 'LOCK', 'more')","('ex', 'ex', 'pwd')","('tcsh', 'rshd', 'telnet')","('rdistd', 'tcsh', 'rshd')","('pq', 'pq', 'ex')","('pr', 'hostname', 'id')","('cat', 'mailx', 'sh')","('pwd', 'rm', 'rmdir')","('su', 'rdistd', 'tcsh')","('cat', 'post', 'rm')","('download', 'gs', 'ghostvie')","('grep', 'nslookup', 'rdistd')","('ppost', 'rm', 'generic')","('sh', 'hostname', 'id')","('date', 'generic', 'download')","('more', 'ls', 'ls')","('cat', 'sed', 'cat')","('hpost', 'ppost', 'rm')","('LOCK', 'ls', 'ls')","('touch', 'tcsh', 'rdistd')","('download', 'virtex', 'dvips')","('cat', 'cat', 'ex')","('netstat', 'cat', 'mail')","('lc', 'cat', 'cat')","('hostname', 'id', 'nawk')","('gethost', 'tcpostio', 'tcpostio')","('grep', 'date', 'lp')","('echo', 'sh', 'sendmail')","('tcsh', 'netstat', 'cat')","('sh', 'cat', 'mkdir')","('virtex', 'dvips', 'hostname')","('true', 'grep', 'date')","('cat', 'file', 'ppost')","('more', 'nslookup', 'grep')","('cat', 'sh', 'ex')","('netscape', 'netscape', 'sh')","('ex', 'pwd', 'ex')","('post', 'awk', 'cat')","('expr', 'generic', 'generic')","('rm', 'netscape', 'netscape')","('netscape', 'netscape', 'ls')","('mailx', 'sh', 'mailx')","('rshd', 'netstat', 'netscape')","('sh', 'sh', 'gs')","('generic', 'download', 'gethost')","('mc', 'lc', 'ls')","('netscape', 'tcsh', 'su')","('rshd', 'hostname', 'rdistd')","('ex', 'cat', 'ex')","('sh', 'rm', 'sh')","('tcsh', 'tcsh', 'netscape')","('generic', 'ln', 'ln')","('rshd', 'hostname', 'tcsh')","('cat', 'mkdir', 'sh')","('sendmail', 'cat', 'cat')","('tcsh', 'ps', 'grep')","('sh', 'LOCK', 'hostname')","('cat', 'file', 'post')","('cat', 'cat', 'sendmail')","('netscape', 'ls', 'mc')","('ex', 'echo', 'echo')","('generic', 'date', 'generic')","('postprin', 'date', 'cat')","('more', 'sh', 'tcpostio')","('sh', 'ex', 'sh')","('find', 'mkdir', 'expr')","('sendmail', 'ex', 'more')","('true', 'true', 'grep')","('sh', 'gs', 'ghostvie')","('FIFO', 'cat', 'date')","('rshd', 'touch', 'tcsh')","('mailx', 'echo', 'date')","('sh', 'Sqpe', 'cat')","('ppost', 'bc', 'postprin')","('netscape', 'netstat', 'netscape')","('more', 'sh', 'hostname')","('netscape', 'tcsh', 'netstat')","('generic', 'generic', 'lp')","('cat', 'echo', 'echo')","('generic', 'generic', 'date')","('mail', 'tput', 'pq')","('gethost', 'download', 'gs')","('ex', 'virtex', 'dvips')","('ppost', 'bc', 'date')","('tcsh', 'ls', 'ls')","('cat', 'cat', 'hpost')","('id', 'nawk', 'getopt')","('ls', 'generic', 'date')","('ex', 'sh', 'rm')","('mailx', 'echo', 'sh')","('ls', 'mc', 'lc')","('gs', 'ghostvie', 'hostname')","('echo', 'sh', 'cat')","('rshd', 'tcsh', 'tcsh')","('date', 'cat', 'sed')","('netscape', 'netscape', 'netscape')","('FIFO', 'rm', 'UNLOCK')","('mail', 'tcsh', 'finger')","('rm', 'rmdir', 'mkdir')","('ex', 'ex', 'ex')","('tcsh', 'tcsh', 'rdistd')","('ghostvie', 'tcpostio', 'tcpostio')","('mkdir', 'expr', 'generic')","('rshd', 'uname', 'tcsh')","('tcsh', 'xterm', 'tcsh')","('mailx', 'sh', 'ex')","('mail', 'tcsh', 'stty')","('download', 'tcpostio', 'tcpostio')","('ls', 'ls', 'ls')","('sh', 'ls', 'mc')","('tcppost', 'sh', 'hostname')","('dpost', 'echo', 'sh')","('LOCK', 'true', 'ls')","('showps', 'showps', 'rm')","('tcppost', 'sh', 'LOCK')","('cat', 'generic', 'ls')","('echo', 'echo', 'cat')","('mail', 'mail', 'tcsh')","('uname', 'tcsh', 'rshd')","('more', 'sh', 'ls')","('virtex', 'virtex', 'dvips')","('tcsh', 'rdistd', 'tcsh')","('tcsh', 'stty', 'tset')","('netscape', 'tcsh', 'rdistd')","('lc', 'ex', 'more')","('mail', 'tcsh', 'ps')","('date', 'postprin', 'cat')","('tcsh', 'mailx', 'tput')","('UNLOCK', 'rmdir', 'generic')","('tput', 'ex', 'virtex')","('sendmail', 'mailx', 'sh')","('date', 'lp', 'find')","('awk', 'cat', 'post')","('pq', 'ex', 'virtex')","('file', 'post', 'awk')","('Sqpe', 'ls', 'mc')","('rshd', 'tcsh', 'rdistd')","('rmdir', 'generic', 'tcppost')","('tcsh', 'rshd', 'touch')","('sh', 'showps', 'showps')","('generic', 'cat', 'file')","('netstat', 'netscape', 'netscape')","('getpgrp', 'LOCK', 'true')","('echo', 'cat', 'echo')","('sh', 'sendmail', 'ls')","('rm', 'sh', 'ls')","('sendmail', 'mailx', 'echo')","('date', 'echo', 'echo')","('mc', 'lc', 'sh')","('sh', 'LOCK', 'LOCK')","('ls', 'ex', 'virtex')","('sh', 'sendmail', 'cat')","('stty', 'tset', 'mail')","('rshd', 'df', 'tcsh')","('more', 'sh', 'netscape')","('troff', 'dpost', 'echo')","('pwd', 'rmdir', 'rmdir')","('cat', 'hpost', 'ppost')","('tbl', 'eqn', 'troff')","('mc', 'lc', 'Sqpe')","('rshd', 'telnet', 'rdistd')","('Sqpe', 'more', 'sh')","('ex', 'more', 'sh')","('Sqpe', 'pwd', 'rmdir')","('netscape', 'ls', 'gs')","('netscape', 'more', 'sh')","('hostname', 'rdistd', 'tcsh')","('ls', 'sed', 'FIFO')","('mailx', 'sh', 'ls')","('generic', 'ls', 'generic')","('generic', 'tcppost', 'sh')","('tcsh', 'mail', 'more')","('LOCK', 'gs', 'ghostvie')","('rm', 'generic', 'ln')","('sh', 'netscape', 'more')","('showps', 'rm', 'netscape')","('ghostvie', 'mail', 'tput')","('cat', 'cat', 'cat')","('ls', 'ls', 'ex')","('nslookup', 'rdistd', 'tcsh')","('awk', 'ppost', 'bc')","('rmdir', 'pwd', 'rm')","('gethost', 'download', 'cat')","('ls', 'more', 'ls')","('ln', 'ln', 'generic')","('cat', 'ex', 'echo')","('lp', 'find', 'mkdir')","('lc', 'sh', 'Sqpe')","('true', 'ls', 'sed')","('tcsh', 'rshd', 'rdistd')","('tcpostio', 'tcpostio', 'tcpostio')","('rshd', 'rdistd', 'tcsh')","('ps', 'grep', 'netscape')","('more', 'tcsh', 'mailx')","('echo', 'echo', 'sh')","('tcsh', 'rshd', 'cat')","('echo', 'date', 'echo')","('sed', 'FIFO', 'cat')","('sed', 'cat', 'cat')","('LOCK', 'netstat', 'netscape')","('tcpostio', 'tcpostio', 'cat')","('echo', 'sh', 'pr')","('bc', 'postprin', 'date')","('date', 'sh', 'date')","('df', 'tcsh', 'rshd')","('LOCK', 'more', 'sh')","('mailx', 'tput', 'ex')","('virtex', 'dvips', 'gs')","('cat', 'sendmail', 'sendmail')","('finger', 'tcsh', 'rdistd')","('telnet', 'rdistd', 'tcsh')","('generic', 'rm', 'ls')","('ghostvie', 'hostname', 'id')","('more', 'sh', 'mailx')","('tcsh', 'netscape', 'netscape')","('LOCK', 'ex', 'hostname')","('generic', 'lp', 'getpgrp')","('tcsh', 'rshd', 'tcsh')","('lp', 'find', 'expr')","('hostname', 'tcsh', 'rdistd')","('lp', 'getpgrp', 'LOCK')","('sh', 'cat', 'cat')","('sendmail', 'ls', 'mc')","('ghostvie', 'ls', 'gs')","('expr', 'generic', 'cat')","('date', 'generic', 'rm')","('Sqpe', 'cat', 'ex')","('tbl', 'tbl', 'eqn')","('cat', 'mail', 'tcsh')","('sh', 'more', 'sh')","('nslookup', 'grep', 'nslookup')","('sh', 'sendmail', 'ex')","('ex', 'virtex', 'virtex')","('sed', 'FIFO', 'rm')","('mailx', 'sh', 'cat')","('date', 'generic', 'generic')","('cat', 'cat', 'netscape')","('LOCK', 'hostname', 'id')","('mailx', 'sh', 'more')","('ppost', 'awk', 'ppost')","('rm', 'UNLOCK', 'rmdir')","('echo', 'sh', 'sh')","('netscape', 'netscape', 'tcsh')","('lc', 'ls', 'Sqpe')","('sh', 'date', 'sh')","('netscape', 'sh', 'showps')","('ls', 'gs', 'ghostvie')","('file', 'ppost', 'awk')","('troff', 'sed', 'sed')","('ln', 'generic', 'lp')","('tcpostio', 'cat', 'generic')","('postprin', 'cat', 'sed')",class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
