,"('test', 'grep', 'tel')","('nawk', 'getopt', 'true')","('field', 'sed', 'nawk')","('echo', 'cxwsh', '[')","('sh', 'sed', 'sort')","('nawk', 'expr', 'cat')","('expr', 'rsh', 'cat')","('rsh', 'rshd', 'nawk')","('rsh', 'rsh', 'rsh')","('sh', 'echo', 'sh')","('ls', 'tail', 'compress')","('sh', 'fgrep', 'tail')","('sh', 'rcp', 'sh')","('sed', 'FIFO', 'cat')","('grep', 'sh', 'grep')","('sendmail', 'sendmail', 'mailx')","('tellwm', 'xprop', 'endsessi')","('sh', 'rshd', 'mailx')","('ls', 'generic', 'date')","('mailx', 'echo', 'sh')","('hostname', 'arch', 'tset')","('tcpostio', 'tcpostio', 'cat')","('cat', 'sh', 'rshd')","('grep', 'sh', 'rshd')","('ln', 'generic', 'lp')","('tail', 'compress', 'nawk')","('date', 'generic', 'gethost')","('cat', 'date', 'generic')","('cat', 'sed', 'sort')","('grep', 'date', 'lp')","('rshd', 'grep', 'nawk')","('a.out', 'emacs-20', 'uname')","('rsh', 'cat', 'sh')","('cat', 'generic', 'ls')","('grep', 'grep', 'sh')","('cat', 'test', 'grep')","('test', 'grep', 'test')","('sed', 'prison_f', 'nawk')","('rm', 'UNLOCK', 'rmdir')","('uname', 'stty', 'tset')","('rm', 'ls', 'sed')","('cat', 'grep', 'sed')","('cat', 'sed', 'cat')","('hostname', 'id', 'nawk')","('true', 'grep', 'date')","('cat', 'tty', 'hostname')","('mc', 'lc', 'vim')","('do.priso', 'sh', 'rshd')","('tail', 'sh', 'sed')","('expr', 'date', 'cat')","('rsh', 'rsh', 'nawk')","('ls', 'sed', 'FIFO')","('gettxt', 'gettxt', 'gettxt')","('awk', 'echo', 'awk')","('generic', 'gethost', 'download')","('rcp', 'sh', 'rcp')","('sh', 'xwsh', 'sh')","('rshd', 'rsh', 'grep')","('cat', 'post', 'rm')","('cat', 'file', 'post')","('sed', 'cat', 'rsh')","('generic', 'tcppost', 'sh')","('emacs-20', 'uname', 'nawk')","('vim', 'ls', 'mc')","('rsh', 'rshd', 'grep')","('tail', 'sh', 'fgrep')","('sh', 'sh', 'sh')","('sort', 'fgrep', 'tail')","('arch', 'tset', 'stty')","('sh', 'rsh', 'rshd')","('cat', 'uname', 'stty')","('sh', 'sh', 'rshd')","('rshd', 'vim', 'ls')","('cat', 'sh', 'rsh')","('sed', 'sort', 'fgrep')","('nawk', 'ls', 'tail')","('sh', 'rshd', 'rsh')","('rshd', 'echo', 'sh')","('egrep', 'nawk', 'sort')","('date', 'generic', 'generic')","('compress', 'nawk', 'sort')","('test', 'cat', 'uname')","('tset', 'bindkey', 'bindkey')","('as', 'ld_', 'nm')","('cat', 'do.priso', 'sh')","('launchef', 'sh', 'launchef')","('gcc', 'a.out', 'emacs-20')","('sh', 'getpgrp', 'LOCK')","('date', 'nawk', 'ls')","('gcc', 'gcc', 'a.out')","('sh', 'rshd', 'compress')","('generic', 'ls', 'generic')","('cxwsh', '[', 'cat')","('echo', 'sh', 'mailx')","('expr', 'generic', 'cat')","('grep', 'test', 'grep')","('launchef', 'sh', 'sh')","('sendmail', 'sendmail', 'sendmail')","('lc', 'ls', 'mc')","('launchef', 'launchef', 'sh')","('fmt', 'sh', 'fmt')","('sh', 'sh', 'tr')","('tr', 'sh', 'sh')","('sh', 'rshd', 'rshd')","('generic', 'date', 'generic')","('FIFO', 'cat', 'date')","('rshd', 'find', 'sh')","('netscape', 'netscape', 'netscape')","('rm', 'ksh', 'xterm')","('UNLOCK', 'rmdir', 'generic')","('sed', 'awk', 'sed')","('ls', 'vim', 'ls')","('tcpostio', 'tcpostio', 'tcpostio')","('generic', 'rm', 'ls')","('date', 'generic', 'rm')","('awk', 'sed', 'echo')","('rshd', 'rshd', 'grep')","('prison_r', 'prison_r', 'sed')","('sh', 'nawk', 'cat')","('uname', 'test', 'test')","('ld_', 'nm', 'ld')","('sh', 'rshd', 'vim')","('rshd', 'nawk', 'cat')","('xwsh', 'sh', 'xwsh')","('fgrep', 'tail', 'sh')","('cc1', 'as', 'ld_')","('sh', 'grep', 'sh')","('scampdet', 'egrep', 'nawk')","('rlogin', 'rlogin', 'xwsh')","('post', 'rm', 'generic')","('find', 'sh', 'find')","('prison_r', 'sed', 'cat')","('expr', 'expr', 'date')","('rsh', 'grep', 'nawk')","('nawk', 'fgrep', 'tail')","('echo', 'sh', 'rshd')","('find', 'sh', 'grep')","('tty', 'hostname', 'arch')","('rmdir', 'generic', 'tcppost')","('gettxt', 'hostname', 'gettxt')","('awk', 'echo', 'cxwsh')","('sh', 'find', 'sh')","('nawk', 'sed', 'rsh')","('test', 'uname', 'test')","('sh', 'fmt', 'sh')","('nawk', 'sort', 'nawk')","('nm', 'ld', 'gcc')","('nawk', 'sort', 'cat')","('prison_f', 'sed', 'prison_f')","('echo', 'awk', 'echo')","('awk', 'cat', 'post')","('sendmail', 'mailx', 'sendmail')","('tset', 'stty', 'ksh')","('rshd', 'cat', 'sh')","('rshd', 'grep', 'sh')","('generic', 'lp', 'sh')","('echo', 'awk', 'cxwsh')","('lc', 'vim', 'ls')","('sh', 'rshd', 'cat')","('sed', 'rsh', 'rsh')","('pr', 'pr', 'pr')","('sh', 'rshd', 'expr')","('sh', 'rm', 'MediaMai')","('sh', 'mimencod', 'sh')","('FIFO', 'rm', 'UNLOCK')","('maple.sy', 'nawk', 'maple.sy')","('tail', 'sh', 'nawk')","('test', 'wc', 'sed')","('ln', 'ln', 'generic')","('expr', 'cat', 'prison_r')","('rsh', 'echo', 'sh')","('rshd', 'compress', 'nawk')","('sed', 'FIFO', 'rm')","('rsh', 'rshd', 'date')","('sed', 'sort', 'rsh')","('vim', 'sendmail', 'sendmail')","('cpp', 'cc1', 'as')","('sh', 'rshd', 'echo')","('sh', 'rshd', 'find')","('bindkey', 'bindkey', 'sh')","('nawk', 'cat', 'prison_r')","('sort', 'nawk', 'fgrep')","('stty', 'tset', 'bindkey')","('cpp', 'sh', 'xrdb')","('cat', 'prison_f', 'prison_f')","('uname', 'nawk', 'cpp')","('generic', 'ln', 'ln')","('ls', 'mc', 'lc')","('nawk', 'cpp', 'cc1')","('bindkey', 'sh', 'test')","('wc', 'sed', 'awk')","('sed', 'echo', 'awk')","('rm', 'generic', 'ln')","('sh', 'tr', 'sh')","('rshd', 'expr', 'expr')","('test', 'uname', 'gre')","('mailx', 'grep', 'sh')","('sort', 'nawk', 'sed')","('mc', 'lc', 'ls')","('generic', 'generic', 'date')","('id', 'nawk', 'getopt')","('prison_f', 'prison_f', 'sed')","('sed', 'nawk', 'sed')","('test', 'test', 'wc')","('expr', 'date', 'nawk')","('[', 'cat', 'uname')","('nawk', 'field', 'sed')","('tcpostio', 'cat', 'generic')","('cat', 'rsh', 'cat')","('nawk', 'cat', 'do.priso')","('grep', 'nawk', 'expr')","('nawk', 'expr', 'rsh')","('nawk', 'sed', 'sort')","('ld', 'gcc', 'gcc')","('sed', 'cat', 'sed')","('sh', 'test', 'uname')","('generic', 'cat', 'file')","('cat', 'prison_r', 'prison_r')","('sh', 'rshd', 'grep')","('rsh', 'nawk', 'field')",Class
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0
3,0,0,0,0,1,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
5,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
7,0,0,0,0,1,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
